;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
ying-tian-xue-yuan 应天学院
yong-an-dian-shi-da-xue 永安电视大学
yong-chuan-gan-bu-xue-yuan 永川干部学院
yong-chuan-qu-lao-gan-bu-dang-xiao 永川区老干部党校
yong-chuan-qu-wei-dang-xiao 永川区委党校
yong-chuan-qu-xing-zheng-xue-xiao 永川区行政学校
yong-chun-xian-wei-dang-xiao 永春县委党校
yong-deng-xian-wei-dang-xiao 永登县委党校
yong-ding-qu-wei-dang-xiao 永定区委党校
yong-fu-xian-wei-dang-xiao 永福县委党校
yong-ji-shi-wei-dang-xiao 永济市委党校
yong-ji-xian-wei-dang-xiao 永吉县委党校
yong-ji-xing-zheng-xue-xiao 永济行政学校
yong-jia-dian-da 永嘉电大
yong-jia-xian-xing-zheng-xue-yuan 永嘉县行政学院
yong-jiang-da-xue 邕江大学
yong-nian-xian-wei-dang-xiao 永年县委党校
yong-ning-guang-bo-dian-shi-da-xue 邕宁广播电视大学
yong-ning-qu-jiao-shi-jin-xiu-xue-xiao 邕宁区教师进修学校
yong-ning-xian-wei-dang-xiao 永宁县委党校
yong-qing-xian-guang-bo-dian-shi-da-xue 永清县广播电视大学
yong-tai-xian-wei-dang-xiao 永泰县委党校
yong-xing-dian-da 永兴电大
yong-zhou-zhi-ye-ji-shu-xue-yuan 永州职业技术学院
yong-zhou-zhi-ye-ji-shu-xue-yuan-li-gong-dian-zi-xue-yuan 永州职业技术学院理工电子学院
yong-zhou-zhi-ye-ji-shu-xue-yuan-shang-mao-lv-you-xue-yuan 永州职业技术学院商贸旅游学院
yong-zhou-zhi-ye-ji-shu-xue-yuan-shi-fan-xue-yuan 永州职业技术学院师范学院
yong-zhou-zhi-ye-ji-shu-xue-yuan-xin-xi-gong-cheng-xue-yuan 永州职业技术学院信息工程学院
you-dian-bu-guan-li-gan-bu-xue-yuan 邮电部管理干部学院
you-jiang-min-zu-yi-xue-yuan 右江民族医学院
you-jiang-qu-xing-zheng-gan-bu-guan-li-xue-xiao 右江区行政干部管理学校
you-xi-xian-wei-dang-xiao 尤溪县委党校
you-xi-xue-yuan 游戏学院
you-yi-nong-chang-dang-xiao 友谊农场党校
yu-bei-qu-wei-dang-xiao 渝北区委党校
yu-cheng-qu-wei-dang-xiao 雨城区委党校
yu-cheng-qu-xing-zheng-xue-xiao 雨城区行政学校
yu-cheng-shi-wei-dang-xiao 禹城市委党校
yu-ci-qu-wei-dang-xiao 榆次区委党校
yu-du-lao-dong-da-xue 于都劳动大学
yu-gan-xian-xing-zheng-xue-xiao 余干县行政学校
yu-hang-qu-qiao-si-zhen-wei-dang-xiao 余杭区乔司镇委党校
yu-hong-qu-lao-gan-bu-da-xue 于洪区老干部大学
yu-jiang-xian-wei-dang-xiao 余江县委党校
yu-li-xian-dian-da 尉犁县电大
yu-lin-cai-jing-xue-xiao 玉林财经学校
yu-lin-shi-fan-xue-yuan-ji-xu-jiao-yu-xue-yuan 玉林师范学院继续教育学院
yu-lin-shi-wei-dang-xiao 玉林市委党校
yu-lin-shi-xing-zheng-xue-yuan 榆林市行政学院
yu-lin-xue-yuan 榆林学院
yu-men-shi-wei-dang-xiao 玉门市委党校
yu-shan-lao-dong-da-xue 玉山劳动大学
yu-shan-xian-wei-dang-xiao 玉山县委党校
yu-she-xian-wei-dang-xiao 榆社县委党校
yu-shu-guang-bo-dian-shi-da-xue 玉树广播电视大学
yu-wen-jiao-yu-xue-yuan 语文教育学院
yu-xi-nong-ye-zhi-ye-ji-shu-xue-yuan 玉溪农业职业技术学院
yu-xi-shi-fan-cheng-jiao-xue-yuan 玉溪师范成教学院
yu-xi-shi-fan-xue-yuan 玉溪师范学院
yu-xi-xing-zheng-xue-yuan 玉溪行政学院
yu-yao-shi-wei-dang-xiao 余姚市委党校
yu-yuan-jie-dao-lao-nian-xue-xiao 豫园街道老年学校
yu-zhang-da-xue 豫章大学
yu-zhong-xian-wei-dang-xiao 榆中县委党校
yuan-dong-she-wai-xue-yuan 远东涉外学院
yuan-dong-wai-guo-yu-xue-yuan 远东外国语学院
yuan-long-ping-ke-ji-xue-yuan 袁隆平科技学院
yuan-mou-xian-wei-yuan-hui-dang-xiao 元谋县委员会党校
yuan-yang-chuan-yuan-xue-yuan 远洋船员学院
yue-pu-hu-xian-dang-xiao 岳普湖县党校
yue-xiu-qu-lao-gan-bu-da-xue 越秀区老干部大学
yue-xiu-qu-lao-nian-da-xue 越秀区老年大学
yue-xiu-qu-she-qu-wen-hua-yi-shu-xue-xiao 越秀区社区文化艺术学校
yue-yang-guang-bo-dian-shi-da-xue 岳阳广播电视大学
yue-yang-jie-dao-lao-nian-xue-xiao 岳阳街道老年学校
yue-yang-shi-xing-zheng-xue-yuan 岳阳市行政学院
yue-yang-shi-yue-yang-lou-qu-wei-dang-xiao 岳阳市岳阳楼区委党校
yue-yang-xin-ji-qing-nian-zhi-ye-ji-shu-xue-yuan 岳阳新击青年职业技术学院
yun-cheng-guan-sheng-lv-you-xue-xiao 运城关圣旅游学校
yun-cheng-guang-bo-dian-shi-da-xue 运城广播电视大学
yun-cheng-ke-ji-xue-yuan 运城科技学院
yun-cheng-nong-ye-zhi-ye-ji-shu-xue-yuan 运城农业职业技术学院
yun-cheng-shi-wei-dang-xiao 运城市委党校
yun-cheng-shi-yan-hu-qu-wei-dang-xiao 运城市盐湖区委党校
yun-cheng-xian-wei-dang-xiao 郓城县委党校
yun-cheng-xing-zheng-xue-yuan 运城行政学院
yun-cheng-xue-yuan 运城学院
yun-cheng-you-er-shi-fan-gao-deng-zhuan-ke-xue-xiao 运城幼儿师范高等专科学校
yun-he-gao-deng-shi-fan-xue-xiao 运河高等师范学校
yun-meng-xian-xing-zheng-xue-xiao 云梦县行政学校
yun-nan-bei-mei-zhi-ye-xue-yuan 云南北美职业学院
yun-nan-cai-jing-da-xue 云南财经大学
yun-nan-da-xue 云南大学
yun-nan-dian-li-zhi-gong-da-xue 云南电力职工大学
yun-nan-duo-zhong-wai-yu-jin-xiu-xue-yuan 云南多种外语进修学院
yun-nan-fa-xue-zhuan-xiu-xue-yuan 云南法学专修学院
yun-nan-fo-xue-yuan 云南佛学院
yun-nan-gong-shang-guan-li-xue-yuan 云南工商管理学院
yun-nan-guang-bo-dian-shi-da-xue 云南广播电视大学
yun-nan-guo-tu-zi-yuan-zhi-ye-xue-yuan 云南国土资源职业学院
yun-nan-hua-cheng-xue-yuan 云南华程学院
yun-nan-ji-dian-zhi-ye-ji-shu-xue-yuan 云南机电职业技术学院
yun-nan-ji-du-jiao-shen-xue-yuan 云南基督教神学院
yun-nan-jiao-tong-zhi-ye-ji-shu-xue-yuan 云南交通职业技术学院
yun-nan-jiao-yu-xue-yuan 云南教育学院
yun-nan-jin-zhong-wai-yu-jin-xiu-xue-yuan 云南金种外语进修学院
yun-nan-jing-guan-xue-yuan 云南警官学院
yun-nan-jing-ji-guan-li-zhi-ye-xue-yuan 云南经济管理职业学院
yun-nan-ke-ji-jin-xiu-xue-yuan 云南科技进修学院
yun-nan-ke-ji-xin-xi-xue-yuan 云南科技信息学院
yun-nan-ke-ji-xin-xi-zhi-ye-xue-yuan 云南科技信息职业学院
yun-nan-lv-you-wai-guo-yu-xue-yuan 云南旅游外国语学院
yun-nan-min-zu-da-xue 云南民族大学
yun-nan-min-zu-jin-xiu-xue-yuan 云南民族进修学院
yun-nan-min-zu-xue-yuan 云南民族学院
yun-nan-min-zu-xue-yuan-cheng-ren-jiao-yu-xue-yuan 云南民族学院成人教育学院
yun-nan-neng-yuan-zhi-ye-ji-shu-xue-yuan 云南能源职业技术学院
yun-nan-neng-yuan-zhi-ye-ji-shu-xue-yuan-cheng-jiao-xue-yuan 云南能源职业技术学院成教学院
yun-nan-nong-cun-jing-ji-kan-shou-lian-he-da-xue 云南农村经济刊授联合大学
yun-nan-nong-ye-da-xue 云南农业大学
yun-nan-re-dai-zuo-wu-zhi-ye-xue-yuan 云南热带作物职业学院
yun-nan-sheng-fa-guan-jin-xiu-xue-yuan 云南省法官进修学院
yun-nan-sheng-gan-bu-zai-xian-xue-xi-xue-yuan 云南省干部在线学习学院
yun-nan-sheng-guang-bo-dian-shi-da-xue 云南省广播电视大学
yun-nan-sheng-jiao-yu-xue-yuan 云南省教育学院
yun-nan-sheng-lin-ye-zhi-ye-ji-shu-xue-yuan 云南省林业职业技术学院
yun-nan-sheng-nong-cun-zhi-fu-ji-shu-han-shou-da-xue 云南省农村致福技术函授大学
yun-nan-sheng-nong-da-jian-zhu-gong-cheng-xue-yuan 云南省农大建筑工程学院
yun-nan-sheng-she-hui-zhu-yi-xue-yuan 云南省社会主义学院
yun-nan-sheng-sheng-ji-ji-guan-dang-xiao 云南省省级机关党校
yun-nan-sheng-wei-dang-xiao 云南省委党校
yun-nan-sheng-wei-sheng-zhi-gong-yi-xue-yuan 云南省卫生职工医学院
yun-nan-sheng-wen-hua-ting-zhi-gong-da-xue 云南省文化厅职工大学
yun-nan-sheng-yong-sheng-xian-xing-zheng-xue-xiao 云南省永胜县行政学校
yun-nan-shi-fan-da-xue 云南师范大学
yun-nan-si-fa-jing-guan-zhi-ye-xue-yuan 云南司法警官职业学院
yun-nan-ti-yu-jin-xiu-xue-yuan 云南体育进修学院
yun-nan-ti-yu-yun-dong-zhi-ye-ji-shu-xue-yuan 云南体育运动职业技术学院
yun-nan-wen-hua-yi-shu-zhi-ye-xue-yuan 云南文化艺术职业学院
yun-nan-xian-dai-jiao-yu-jin-xiu-xue-yuan 云南现代教育进修学院
yun-nan-xin-hua-jin-xiu-xue-yuan 云南新华进修学院
yun-nan-xing-zheng-xue-yuan 云南行政学院
yun-nan-yi-shu-jin-xiu-xue-yuan 云南艺术进修学院
yun-nan-yi-shu-xue-yuan 云南艺术学院
yun-nan-yi-shu-xue-yuan-cheng-ren-jiao-yu-xue-yuan 云南艺术学院成人教育学院
yun-nan-yi-shu-xue-yuan-wen-hua-xue-yuan 云南艺术学院文化学院
yun-nan-yuan-yin-sen-ruan-jian-zhi-ye-xue-yuan 云南爰因森软件职业学院
yun-nan-zhong-yi-xue-yuan 云南中医学院
yun-nan-zhong-yi-xue-yuan-dian-xi-xue-yuan 云南中医学院滇西学院
yun-nan-zhong-yuan-ke-ji-zhuan-xiu-xue-yuan 云南中元科技专修学院
yun-shu-gong-cheng-xue-yuan 运输工程学院
yun-xiao-xian-wei-dang-xiao 云霄县委党校
yun-yan-qu-huan-bei-ban-shi-chu-wen-ming-shi-min-xue-yuan 云岩区环北办事处文明市民学院
yun-yan-qu-lao-nian-da-xue 云岩区老年大学
yun-yang-shi-fan-zhuan-ke-xue-xiao 郧阳师范专科学校
yun-yang-yi-xue-yuan 郧阳医学院
zao-kuang-ji-tuan-ji-shu-xue-yuan 枣矿集团技术学院
zao-zhuang-dian-da 枣庄电大
zao-zhuang-ke-ji-zhi-ye-xue-yuan 枣庄科技职业学院
zao-zhuang-shi-shi-zhong-qu-wei-dang-xiao 枣庄市市中区委党校
zao-zhuang-shi-tai-er-zhuang-qu-wei-dang-xiao 枣庄市台儿庄区委党校
zao-zhuang-shi-tai-er-zhuang-qu-xing-zheng-xue-xiao 枣庄市台儿庄区行政学校
zao-zhuang-shi-wei-dang-xiao 枣庄市委党校
zao-zhuang-shi-xing-zheng-xue-yuan 枣庄市行政学院
zao-zhuang-shi-yi-cheng-qu-wei-dang-xiao 枣庄市峄城区委党校
zao-zhuang-xue-yuan 枣庄学院
ze-zhou-xian-wei-dang-xiao 泽州县委党校
zeng-cheng-shi-guang-bo-dian-shi-da-xue 增城市广播电视大学
zeng-cheng-shi-wei-dang-xiao 增城市委党校
zha-bei-qu-she-hui-zhu-yi-xue-yuan 闸北区社会主义学院
zha-bei-qu-wei-dang-xiao 闸北区委党校
zha-bei-qu-xing-zheng-xue-yuan 闸北区行政学院
zha-lai-te-qi-wei-dang-xiao 扎赉特旗委党校
zha-lan-tun-shi-shi-fan-xue-xiao 扎兰屯市师范学校
zha-lan-tun-shi-wei-dang-xiao 扎兰屯市委党校
zha-lu-te-qi-wei-dang-xiao 扎鲁特旗委党校
zha-lu-te-qi-xing-zheng-xue-xiao 扎鲁特旗行政学校
zhan-hua-xian-wei-dang-xiao 沾化县委党校
zhan-jiang-dian-shi-da-xue 湛江电视大学
zhan-jiang-jiao-yu-xue-yuan 湛江教育学院
zhan-jiang-shi-fan-xue-yuan 湛江师范学院
zhan-jiang-shi-ti-yu-yun-dong-xue-xiao 湛江市体育运动学校
zhan-jiang-shi-wei-dang-xiao 湛江市委党校
zhan-jiang-zhi-yang-wai-yu-zhuan-xiu-xue-yuan 湛江智洋外语专修学院
zhang-dian-qu-wei-dang-xiao 张店区委党校
zhang-gong-qu-wei-dang-xiao 章贡区委党校
zhang-jia-gang-shi-wei-dang-xiao 张家港市委党校
zhang-jia-gang-shi-yang-she-zhen-wei-dang-xiao 张家港市杨舍镇委党校
zhang-jia-jie-hang-kong-gong-ye-zhi-ye-ji-shu-xue-yuan 张家界航空工业职业技术学院
zhang-jia-jie-shi-guang-bo-dian-shi-da-xue 张家界市广播电视大学
zhang-jia-jie-shi-she-hui-zhu-yi-xue-yuan 张家界市社会主义学院
zhang-jia-jie-shi-wei-dang-xiao 张家界市委党校
zhang-jia-jie-shi-wu-ling-yuan-xing-zheng-xue-xiao 张家界市武陵源行政学校
zhang-jia-jie-shi-xing-zheng-xue-yuan 张家界市行政学院
zhang-jia-jie-shi-yong-ding-qu-xing-zheng-xue-xiao 张家界市永定区行政学校
zhang-jia-kou-guang-bo-dian-shi-da-xue 张家口广播电视大学
zhang-jia-kou-jiao-yu-xue-yuan 张家口教育学院
zhang-jia-kou-jiao-yu-xue-yuan-cai-jing-xue-yuan 张家口教育学院财经学院
zhang-jia-kou-shi-wei-dang-xiao 张家口市委党校
zhang-jia-kou-shi-xia-hua-yuan-qu-wei-dang-xiao 张家口市下花园区委党校
zhang-jia-kou-shi-xing-zheng-xue-yuan 张家口市行政学院
zhang-jia-kou-shi-yi-xue-yuan 张家口市医学院
zhang-jia-kou-zhi-ye-ji-shu-xue-yuan 张家口职业技术学院
zhang-jiang-zhen-lao-nian-xue-xiao 张江镇老年学校
zhang-pu-xian-wei-dang-xiao 漳浦县委党校
zhang-qiu-shi-wei-dang-xiao 章丘市委党校
zhang-she-zhen-wei-dang-xiao 张舍镇委党校
zhang-shu-shi-wei-dang-xiao 樟树市委党校
zhang-ye-shi-wei-dang-xiao 张掖市委党校
zhang-ye-yi-xue-gao-deng-zhuan-ke-xue-xiao 张掖医学高等专科学校
zhang-zhou-shi-fan-xue-yuan 漳州师范学院
zhang-zhou-shi-wei-dang-xiao 漳州市委党校
zhang-zhou-wei-sheng-zhi-ye-xue-yuan 漳州卫生职业学院
zhang-zhou-zhi-ye-ji-shu-xue-yuan 漳州职业技术学院
zhao-qing-gong-shang-zhi-ye-ji-shu-xue-yuan 肇庆工商职业技术学院
zhao-qing-guang-bo-dian-shi-da-xue 肇庆广播电视大学
zhao-qing-ke-ji-zhi-ye-ji-shu-xue-yuan 肇庆科技职业技术学院
zhao-qing-shi-duan-zhou-qu-wei-dang-xiao 肇庆市端州区委党校
zhao-qing-shi-gong-ye-mao-yi-xue-yuan 肇庆市工业贸易学院
zhao-qing-wai-yu-xue-xiao 肇庆外语学校
zhao-qing-xue-yuan 肇庆学院
zhao-qing-yi-xue-gao-deng-zhuan-ke-xue-xiao 肇庆医学高等专科学校
zhao-su-xian-wei-dang-xiao 昭苏县委党校
zhao-tong-shi-fan-gao-deng-zhuan-ke-xue-xiao 昭通师范高等专科学校
zhao-tong-shi-wei-dang-xiao 昭通市委党校
zhao-tong-shi-zhao-yang-qu-wei-dang-xiao 昭通市昭阳区委党校
zhao-yang-gong-ye-xue-xiao 朝阳工业学校
zhao-yang-guang-bo-dian-shi-da-xue 朝阳广播电视大学
zhao-yang-nong-ye-ke-xue-yuan 朝阳农业科学院
zhao-yang-qu-wei-dang-xiao 朝阳区委党校
zhao-yang-shi-fan-gao-deng-zhuan-ke-xue-xiao 朝阳师范高等专科学校
zhao-yang-shi-fan-zhuan-ke-xue-xiao 朝阳师范专科学校
zhao-yang-shi-wei-dang-xiao 朝阳市委党校
zhao-yang-zhi-gong-gong-xue-yuan 朝阳职工工学院
zhao-yuan-shi-wei-dang-xiao 招远市委党校
zhe-da-hua-xia-xiang-zhen-qi-ye-xue-yuan 浙大华夏乡镇企业学院
zhe-da-xi-xi-xiao-qu-fa-xue-yuan 浙大西溪校区法学院
zhe-jiang-cai-jing-cheng-ren-jiao-yu-xue-yuan 浙江财经成人教育学院
zhe-jiang-cai-jing-xue-yuan-cheng-cai-jiao-yu-xue-yuan 浙江财经学院成才教育学院
zhe-jiang-cai-jing-xue-yuan-dong-fang-xue-yuan 浙江财经学院东方学院
zhe-jiang-chang-zheng-zhi-ye-ji-shu-xue-yuan 浙江长征职业技术学院
zhe-jiang-chuan-mei-xue-yuan 浙江传媒学院
zhe-jiang-da-xue 浙江大学
zhe-jiang-dian-da 浙江电大
zhe-jiang-dian-li-ji-shu-xue-yuan 浙江电力技术学院
zhe-jiang-dian-li-zhi-ye-ji-shu-xue-yuan 浙江电力职业技术学院
zhe-jiang-dian-xin-zhuan-xiu-xue-yuan 浙江电信专修学院
zhe-jiang-dong-fang-xue-yuan 浙江东方学院
zhe-jiang-fa-guan-jin-xiu-xue-yuan 浙江法官进修学院
zhe-jiang-fang-zhi-fu-zhuang-ji-shu-xue-yuan 浙江纺织服装技术学院
zhe-jiang-fu-nv-gan-bu-xue-yuan 浙江妇女干部学院
zhe-jiang-gong-an-gao-deng-zhuan-ke-xue-xiao 浙江公安高等专科学校
zhe-jiang-gong-cheng-xue-yuan 浙江工程学院
zhe-jiang-gong-da-guo-ji-xue-yuan 浙江工大国际学院
zhe-jiang-gong-shang-da-xue 浙江工商大学
zhe-jiang-gong-shang-xing-zheng-guan-li-gan-bu-xue-xiao 浙江工商行政管理干部学校
zhe-jiang-gong-shang-zhi-ye-ji-shu-xue-yuan 浙江工商职业技术学院
zhe-jiang-gong-ye-da-xue 浙江工业大学
zhe-jiang-gong-ye-zhi-ye-ji-shu-xue-yuan 浙江工业职业技术学院
zhe-jiang-guang-bo-dian-shi-da-xue 浙江广播电视大学
zhe-jiang-guo-ji-hai-yun-zhi-ye-ji-shu-xue-yuan 浙江国际海运职业技术学院
zhe-jiang-hai-yang-xue-yuan 浙江海洋学院
zhe-jiang-ji-dian-zhi-ye-da-xue 浙江机电职业大学
zhe-jiang-ji-dian-zhi-ye-ji-shu-xue-xiao 浙江机电职业技术学校
zhe-jiang-ji-gong-jiao-shi-jin-xiu-xue-xiao 浙江技工教师进修学校
zhe-jiang-jian-she-zhi-ye-ji-shu-xue-yuan 浙江建设职业技术学院
zhe-jiang-jiang-nan-li-gong-zhuan-xiu-xue-yuan 浙江江南理工专修学院
zhe-jiang-jiao-yu-xue-yuan 浙江教育学院
zhe-jiang-jing-guan-zhi-ye-xue-yuan 浙江警官职业学院
zhe-jiang-jing-ji-guan-li-zhi-gong-da-xue 浙江经济管理职工大学
zhe-jiang-jing-ji-guan-li-zhuan-xiu-xue-yuan 浙江经济管理专修学院
zhe-jiang-jing-ji-zhi-ye-ji-shu-xue-yuan 浙江经济职业技术学院
zhe-jiang-jing-mao-zhi-ye-ji-shu-xue-yuan 浙江经贸职业技术学院
zhe-jiang-ke-ji-gong-cheng-xue-xiao 浙江科技工程学校
zhe-jiang-lao-nian-da-xue 浙江老年大学
zhe-jiang-lao-nian-dian-shi-da-xue 浙江老年电视大学
zhe-jiang-li-gong-da-xue 浙江理工大学
zhe-jiang-lin-xue-yuan 浙江林学院
zhe-jiang-lin-xue-yuan-cheng-ren-jiao-yu-xue-yuan 浙江林学院成人教育学院
zhe-jiang-lin-xue-yuan-tian-mu-xue-yuan 浙江林学院天目学院
zhe-jiang-lv-you-zhi-xue-xue-yuan 浙江旅游职学学院
zhe-jiang-lv-you-zhi-ye-xue-yuan 浙江旅游职业学院
zhe-jiang-nong-ye-da-xue 浙江农业大学
zhe-jiang-nv-zi-jin-xiu-xue-yuan 浙江女子进修学院
zhe-jiang-nv-zi-zhuan-xiu-xue-yuan 浙江女子专修学院
zhe-jiang-qiu-zhi-zhuan-xiu-xue-yuan 浙江求智专修学院
zhe-jiang-shang-ye-ji-shi-xue-yuan 浙江商业技师学院
zhe-jiang-shang-ye-zhi-ye-ji-shu-xue-yuan 浙江商业职业技术学院
zhe-jiang-she-hui-ke-xue-jin-xiu-xue-yuan 浙江社会科学进修学院
zhe-jiang-shen-xue-yuan 浙江神学院
zhe-jiang-sheng-chun-an-xian-jiao-shi-jin-xiu-xue-yuan 浙江省淳安县教师进修学院
zhe-jiang-sheng-feng-hua-shi-fan-xue-xiao 浙江省奉化师范学校
zhe-jiang-sheng-fu-nv-gan-bu-xue-xiao 浙江省妇女干部学校
zhe-jiang-sheng-gong-xiao-she-zhi-gong-xue-yuan 浙江省供销社职工学院
zhe-jiang-sheng-guang-bo-dian-shi-da-xue 浙江省广播电视大学
zhe-jiang-sheng-ji-dian-gong-cheng-shi-jin-xiu-da-xue 浙江省机电工程师进修大学
zhe-jiang-sheng-jiao-tong-ting-dang-xiao 浙江省交通厅党校
zhe-jiang-sheng-jiao-tong-zhi-ye-ji-shu-xue-yuan 浙江省交通职业技术学院
zhe-jiang-sheng-jiao-yu-xue-yuan 浙江省教育学院
zhe-jiang-sheng-lao-dong-he-she-hui-bao-zhang-gan-bu-xue-xiao 浙江省劳动和社会保障干部学校
zhe-jiang-sheng-nong-ye-ke-xue-yuan 浙江省农业科学院
zhe-jiang-sheng-ren-min-jing-cha-xue-xiao 浙江省人民警察学校
zhe-jiang-sheng-she-hui-zhu-yi-xue-yuan 浙江省社会主义学院
zhe-jiang-sheng-sheng-ji-ji-guan-dang-xiao 浙江省省级机关党校
zhe-jiang-sheng-ti-yu-yun-dong-xue-yuan 浙江省体育运动学院
zhe-jiang-sheng-wei-dang-xiao 浙江省委党校
zhe-jiang-sheng-wei-dang-xiao-han-shou-xue-yuan 浙江省委党校函授学院
zhe-jiang-sheng-yi-xue-ke-xue-yuan 浙江省医学科学院
zhe-jiang-sheng-yi-yuan-gao-deng-zhuan-ke-xue-xiao 浙江省医院高等专科学校
zhe-jiang-sheng-you-dian-zhi-gong-da-xue 浙江省邮电职工大学
zhe-jiang-sheng-zhi-gong-jin-xiu-xue-yuan 浙江省职工进修学院
zhe-jiang-shi-fan-da-xue 浙江师范大学
zhe-jiang-shu-ren-da-xue 浙江树人大学
zhe-jiang-shu-ren-xue-yuan 浙江树人学院
zhe-jiang-shui-li-shui-dian-gao-deng-zhuan-ke-xue-xiao 浙江水利水电高等专科学校
zhe-jiang-shui-li-shui-dian-zhuan-ke-xue-xiao 浙江水利水电专科学校
zhe-jiang-ti-yu-zhi-ye-ji-shu-xue-yuan 浙江体育职业技术学院
zhe-jiang-tong-ji-ke-ji-zhi-ye-xue-yuan 浙江同济科技职业学院
zhe-jiang-wan-li-xue-yuan 浙江万里学院
zhe-jiang-xi-zi-li-gong-zhuan-xiu-xue-yuan 浙江西子理工专修学院
zhe-jiang-xi-zi-zhi-ye-xue-yuan 浙江西子职业学院
zhe-jiang-xin-shi-ji-jing-mao-zhuan-xiu-xue-yuan 浙江新世纪经贸专修学院
zhe-jiang-xing-zheng-xue-yuan 浙江行政学院
zhe-jiang-yi-ke-da-xue 浙江医科大学
zhe-jiang-yi-shu-xue-yuan 浙江艺术学院
zhe-jiang-yi-shu-zhi-ye-xue-yuan 浙江艺术职业学院
zhe-jiang-yi-xue-gao-deng-zhuan-ke-xue-xiao 浙江医学高等专科学校
zhe-jiang-yi-xue-zhi-ye-ji-shu-xue-yuan 浙江医学职业技术学院
zhe-jiang-yi-yao-gao-deng-zhuan-ke-xue-xiao 浙江医药高等专科学校
zhe-jiang-yi-yao-gong-ye-she-ji-xue-yuan 浙江医药工业设计学院
zhe-jiang-you-dian-ji-shu-xue-yuan 浙江邮电技术学院
zhe-jiang-you-dian-zhi-ye-ji-shu-xue-yuan 浙江邮电职业技术学院
zhe-jiang-you-er-shi-fan-xue-yuan 浙江幼儿师范学院
zhe-jiang-yu-cai-zhi-gong-da-xue 浙江育才职工大学
zhe-jiang-yu-ren-zhuan-xiu-xue-yuan 浙江育人专修学院
zhe-jiang-yu-xiang-wai-guo-yu-zhuan-xiu-xue-yuan 浙江宇翔外国语专修学院
zhe-jiang-yu-ying-zhi-ye-ji-shu-xue-yuan 浙江育英职业技术学院
zhe-jiang-yuan-da-xue-yuan 浙江远大学院
zhe-jiang-yuan-da-zhuan-xiu-xue-yuan 浙江远大专修学院
zhe-jiang-zheng-fa-guan-li-gan-bu-xue-yuan 浙江政法管理干部学院
zhe-jiang-zhong-yi-yao-da-xue 浙江中医药大学
zhe-rong-xian-wei-dang-xiao 柘荣县委党校
zhen-dan-xue-yuan 震旦学院
zhen-jiang-chuan-ting-xue-yuan 镇江船艇学院
zhen-jiang-shi-dan-tu-qu-wei-dang-xiao 镇江市丹徒区委党校
zhen-jiang-shi-dang-xiao 镇江市党校
zhen-jiang-shi-ji-shi-xue-yuan 镇江市技师学院
zhen-jiang-shi-jian-she-xue-xiao 镇江市建设学校
zhen-jiang-shi-xing-zheng-xue-yuan 镇江市行政学院
zhen-ru-zhen-lao-nian-xue-xiao 真如镇老年学校
zhen-ze-zhen-dang-xiao 震泽镇党校
zheng-da-gong-ye-xue-yuan 郑大工业学院
zheng-da-ruan-jian-zhi-ye-ji-shu-xue-yuan 正大软件职业技术学院
zheng-de-xue-yuan 正德学院
zheng-de-zhi-ye-ji-shu-xue-yuan 正德职业技术学院
zheng-ding-xian-jiao-shi-jin-xiu-xue-xiao 正定县教师进修学校
zheng-xiang-bai-qi-dang-xiao 正镶白旗党校
zheng-zhou-cai-jing-ji-shi-xue-yuan 郑州财经技师学院
zheng-zhou-cai-jing-xue-yuan 郑州财经学院
zheng-zhou-da-xue 郑州大学
zheng-zhou-dian-lan-chang-zhi-gong-da-xue 郑州电缆厂职工大学
zheng-zhou-dian-li-gao-deng-zhuan-ke-xue-xiao 郑州电力高等专科学校
zheng-zhou-dian-li-zhi-ye-ji-shu-xue-yuan 郑州电力职业技术学院
zheng-zhou-fang-zhi-gong-xue-yuan 郑州纺织工学院
zheng-zhou-gao-deng-zhuan-ke-xue-xiao-ye-da-xue 郑州高等专科学校夜大学
zheng-zhou-gong-ye-da-xue 郑州工业大学
zheng-zhou-guang-bo-dian-shi-da-xue 郑州广播电视大学
zheng-zhou-hang-kong-gong-ye-guan-li-xue-yuan 郑州航空工业管理学院
zheng-zhou-hang-yuan-xin-xi-tong-ji-zhi-ye-xue-yuan 郑州航院信息统计职业学院
zheng-zhou-hua-xin-xue-yuan 郑州华信学院
zheng-zhou-jiao-tong-ji-shi-xue-yuan 郑州交通技师学院
zheng-zhou-jiao-tong-xue-yuan 郑州交通学院
zheng-zhou-jing-ji-guan-li-gan-bu-xue-yuan 郑州经济管理干部学院
zheng-zhou-jing-mao-zhi-ye-xue-yuan 郑州经贸职业学院
zheng-zhou-ke-ji-zhi-ye-xue-yuan 郑州科技职业学院
zheng-zhou-lv-you-zhi-ye-xue-yuan 郑州旅游职业学院
zheng-zhou-mei-tian-di-zhi-xue-yuan 郑州煤田地质学院
zheng-zhou-mu-ye-gong-cheng-gao-deng-zhuan-ke-xue-xiao 郑州牧业工程高等专科学校
zheng-zhou-qing-gong-ye-xue-yuan 郑州轻工业学院
zheng-zhou-qing-gong-ye-xue-yuan-min-zu-zhi-ye-xue-yuan 郑州轻工业学院民族职业学院
zheng-zhou-qing-gong-ye-xue-yuan-qing-gong-zhi-ye-xue-yuan 郑州轻工业学院轻工职业学院
