;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
bao-ji-shi-xing-zheng-xue-yuan 宝鸡市行政学院
bao-ji-wen-li-xue-yuan 宝鸡文理学院
bao-ji-zhi-ye-ji-shu-xue-yuan 宝鸡职业技术学院
bao-shan-dian-da 保山电大
bao-shan-qu-dian-da 宝山区电大
bao-shan-qu-luo-jing-zhen-dang-xiao 宝山区罗泾镇党校
bao-shan-qu-ye-yu-da-xue 宝山区业余大学
bao-shan-shi-fan-gao-deng-zhuan-ke-xue-xiao 保山师范高等专科学校
bao-shan-shi-lao-gan-bu-dang-xiao 保山市老干部党校
bao-shan-shi-zhuan 保山师专
bao-shan-zhong-yi-yao-gao-deng-zhuan-ke-xue-xiao 保山中医药高等专科学校
bao-tou-gang-tie-zhi-ye-ji-shu-xue-yuan 包头钢铁职业技术学院
bao-tou-qing-gong-zhi-ye-ji-shu-xue-yuan 包头轻工职业技术学院
bao-tou-shi-fan-xue-yuan 包头师范学院
bao-tou-shi-kun-du-lun-qu-wei-dang-xiao 包头市昆都仑区委党校
bao-tou-shi-wei-dang-xiao 包头市委党校
bao-tou-shi-zhi-gong-da-xue 包头市职工大学
bao-tou-yi-xue-yuan 包头医学院
bao-tou-zhi-ye-ji-shu-xue-yuan 包头职业技术学院
bao-xian-zhi-ye-xue-yuan 保险职业学院
bao-ying-xian-dang-xiao 宝应县党校
bao-ying-xian-shan-yang-zhen-wei-yuan-hui-dang-xiao 宝应县山阳镇委员会党校
bao-ying-xian-xing-zheng-xue-xiao 宝应县行政学校
bao-zhen-zhen-lao-nian-xue-xiao 堡镇镇老年学校
bei-an-shi-wei-dang-xiao 北安市委党校
bei-an-shi-zhi-ye-ji-shu-xue-yuan 北安市职业技术学院
bei-bei-qu-wei-dang-xiao 北碚区委党校
bei-da-di-san-lin-chuang-yi-xue-yuan 北大第三临床医学院
bei-da-fang-zheng-ruan-jian-ji-shu-xue-yuan 北大方正软件技术学院
bei-da-jing-mao-zhuan-xiu-xue-yuan 北达经贸专修学院
bei-da-zi-yuan-xue-yuan 北大资源学院
bei-dai-he-qu-jiao-shi-jin-xiu-xue-xiao 北戴河区教师进修学校
bei-fang-gong-shang-guan-li-xue-yuan 北方工商管理学院
bei-fang-gong-ye-da-xue 北方工业大学
bei-fang-jiao-tong-da-xue 北方交通大学
bei-fang-ke-ji-xue-xiao 北方科技学校
bei-fang-min-zu-da-xue 北方民族大学
bei-fang-wai-guo-yu-xue-yuan 北方外国语学院
bei-fang-xin-xi-jin-xiu-xue-yuan 北方信息进修学院
bei-fang-zhong-gong-wei-dang-xiao 北方重工委党校
bei-fu-lai-fo-shi-guo-ji-xue-yuan 北服莱佛士国际学院
bei-hai-guang-bo-dian-shi-da-xue 北海广播电视大学
bei-hai-hong-yuan-zu-qiu-zhi-ye-xue-yuan 北海宏源足球职业学院
